Time,SSS-RSRP,SSS-RePower
28:59.6,-101.2,-90
28:59.6,-103.7,-93
28:59.7,-111.3,-91.7
29:01.0,-72.4,-76.1
29:06.3,-88.6,-73.6
29:11.4,-81,-81
29:11.5,-105.5,-81
29:11.6,-81.8,-81
29:14.6,-97.8,-82
29:18.5,-83,-83.8
29:23.0,-87.6,-82.2
29:23.1,-85.9,-85
29:24.1,-80.3,-80.7
29:28.9,-90.6,-80.9
29:33.6,-91.1,-85.5
29:38.6,-95.1,-78.4
29:38.7,-92.5,-72.5
29:39.2,-87.2,-81.5
29:42.7,-77.6,-80.1
29:46.2,-103,-83.2
29:48.7,-73.4,-73.4
29:50.1,-85.8,-83.9
29:50.2,-92.5,-77
29:51.7,-83.1,-82.2
29:55.8,-84,-82.9
29:58.5,-91.7,-87.4
30:02.7,-95.4,-82.6
30:02.7,-84.8,-82.7
30:02.8,-92.5,-81.8
30:05.5,-84.5,-82.5
30:09.8,-88,-81.8
30:13.6,-72.1,-71.1
30:15.1,-95.1,-79.9
30:15.2,-84.4,-83.2
30:17.7,-96.4,-79.4
30:20.4,-82.7,-80.5
30:23.4,-83.7,-81.1
30:26.8,-94.3,-86.9
30:26.9,-93.3,-70.1
30:28.3,-95.7,-77.6
30:29.8,-102.7,-88.9
30:34.4,-112.3,-77.2
30:36.9,-103.6,-86.4
30:41.2,-108.7,-103
30:41.3,-113.2,-91.2
30:41.9,-93,-89.8
30:45.2,-111.7,-96.5
30:48.2,-123.5,-96.1
30:53.0,-109.3,-110
30:53.1,-134.1,-110.3
30:56.1,-118.8,-113.8
31:08.8,-127.9,-106.2
31:08.9,-130,-106.2
31:17.4,-127.8,-118.5
31:23.1,-124.8,-114.6
31:29.4,-118,-114.8
31:33.1,-114.1,-112.6
31:35.9,-119.5,-115
31:44.6,-128.3,-113.6
31:44.7,-131.6,-113.6
31:46.1,-131.4,-115.8
31:53.4,-129.7,-117.7
32:01.5,-126.7,-116.2
32:04.0,-130.7,-119.7
32:15.0,-129.4,-118.7
32:15.9,-119.9,-117
32:21.0,-131.4,-119.4
32:28.5,-125.1,-118.3
32:30.1,-130.9,-118.8
24:33.4,-119.3,-110.4
24:38.5,-110,-107.8
24:47.2,-107.4,-107.3
24:54.2,-119.7,-113.4
24:54.3,-134.9,-119.4
24:57.2,-129.2,-112.9
24:57.3,-129.1,-109.3
25:01.4,-123.7,-108.9
25:01.5,-119.5,-113
25:05.9,-135.3,-109.1
25:06.1,-126,-113.3
25:09.3,-109.2,-109
25:09.4,-126.3,-112.9
25:12.9,-122.8,-117.8
25:13.0,-116,-113
25:13.1,-122.7,-118
25:17.6,-122,-116.9
25:17.7,-116.6,-113.9
25:20.1,-123.5,-113.1
25:21.6,-136.8,-118.7
25:22.0,-117.1,-113.7
25:26.0,-131.7,-116.8
25:26.1,-116.1,-113.6
25:30.0,-123.5,-110.5
25:32.7,-132.3,-109.2
25:32.8,-134,-109.2
25:37.6,-109.8,-108.7
25:37.7,-126.3,-109.8
25:42.1,-132.9,-109.8
25:45.0,-116.3,-114.8
25:45.1,-125.4,-109.2
25:51.2,-132.8,-109
25:51.3,-121.5,-117.7
25:53.7,-108.6,-108.6
25:57.9,-136.7,-117.7
25:58.0,-117.9,-115.8
26:02.4,-125,-112
26:05.0,-119.7,-112
26:05.2,-118.7,-116.2
26:11.0,-114.1,-112.5
26:11.1,-113.5,-112.5
26:11.7,-131,-118.7
26:16.7,-130.8,-118.4
26:20.6,-134.1,-112.3
26:20.7,-126.7,-118.9
26:21.8,-113.2,-113.1
26:26.7,-123.9,-110.5
26:28.7,-132.7,-118.6
26:28.8,-114.1,-113
26:29.0,-133.4,-118
26:32.1,-130,-109.7
26:35.5,-127.7,-113.3
26:35.6,-125.2,-119.4
26:37.1,-120,-116.7
26:40.2,-105.2,-104.9
26:41.6,-115.4,-114.5
26:41.7,-118,-113.7
26:44.2,-137.3,-117.8
26:47.2,-127.5,-120.5
26:47.3,-134.7,-119.4
26:49.4,-127.2,-120.2
26:51.9,-135.2,-114.1
26:52.0,-108.3,-107.8
26:52.1,-138.9,-119.3
26:54.9,-134,-119.6
26:57.8,-139.6,-120.6
26:57.9,-124.8,-112.2
27:00.8,-133.9,-119.8
27:02.4,-136.4,-119.5
27:02.5,-135.8,-119.6
27:02.5,-135.4,-114.5
27:06.6,-125.7,-119.9
27:08.2,-120.1,-118.1
27:08.3,-136.8,-118.2
27:09.6,-111.8,-108.8
27:13.0,-119.1,-113.9
27:13.1,-137.6,-119.2
27:13.2,-136.7,-118.7
27:14.6,-122.2,-116.4
27:18.4,-134.7,-121.3
27:18.5,-125.6,-112.1
27:20.4,-116.6,-114.3
27:22.5,-135.4,-122.7
27:23.1,-137.4,-120.4
27:27.5,-113.2,-113.3
27:27.6,-109.1,-105.6
27:27.6,-128.7,-105.6
27:28.5,-128.3,-115.6
27:31.9,-115.7,-107
27:31.9,-109.8,-110.8
27:32.0,-102.7,-104.2
27:32.1,-125.6,-109.2
27:34.7,-131.2,-111.5
27:36.8,-90.1,-91.5
27:36.9,-91.9,-90.3
27:36.9,-92.7,-93.2
27:40.6,-103.3,-101.3
27:40.7,-125.1,-101.2
27:40.7,-112.1,-101.1
27:42.1,-124.8,-106.2
27:44.8,-100.3,-98.9
27:44.9,-120.7,-110.5
27:44.9,-117.2,-102.9
27:45.9,-123.6,-112.9
27:48.4,-126.5,-110.6
27:50.4,-119.2,-95.9
27:50.5,-125.5,-103.5
27:50.6,-131.9,-98.9
27:51.1,-115.3,-104.3
27:54.1,-117,-97.8
27:54.1,-116.5,-99.9
27:54.2,-103.2,-99.8
27:54.3,-128.4,-100.8
27:55.8,-119.7,-100
27:57.1,-129.6,-99.6
27:59.1,-115.9,-97.7
28:01.3,-81.7,-82.6
28:01.4,-132.2,-104.8
28:01.5,-102.4,-98.2
28:01.5,-108.8,-97.9
28:03.4,-97.7,-98.2
28:04.4,-118.7,-104
28:04.5,-130.1,-97.6
28:04.5,-104.1,-104
28:06.6,-106.4,-106
28:08.6,-100,-99.8
28:10.7,-120.5,-107.4
28:10.7,-130.9,-112
28:10.8,-130,-107.4
28:10.8,-125.3,-95.1
28:13.9,-125.7,-110.4
28:14.0,-133.5,-108.4
28:14.0,-116.5,-111.5
28:14.1,-105.3,-92.5
28:16.4,-111.1,-107.9
28:16.9,-136.2,-112
28:17.0,-100.9,-96.9
28:17.8,-116.5,-113.5
28:20.9,-133.1,-110.8
28:21.0,-126.8,-102.8
28:21.2,-125,-109.6
28:24.1,-125,-104.2
28:24.2,-110.2,-108
28:24.3,-115.8,-114.2
28:27.8,-117.4,-110.7
28:28.5,-135.6,-118.7
28:28.6,-132.3,-112.9
28:32.3,-132.7,-119.3
28:34.2,-127.5,-118.9
28:36.0,-117.5,-116.9
28:40.2,-135.1,-119.7
28:40.3,-117.4,-117.5
28:45.3,-133.3,-118.6
28:47.9,-130.9,-118
28:48.0,-135.9,-118.2
28:51.6,-135.5,-117.8
28:51.7,-132.3,-113.6
28:51.8,-118.4,-112.8
28:53.2,-134.2,-114.9
28:57.0,-116.5,-113.2
28:57.1,-135.4,-117.7
28:57.2,-131.2,-118.4
28:58.9,-135.2,-118.9
29:01.4,-134.6,-115.3
29:02.9,-130.3,-118.9
29:03.0,-126.4,-114.3
29:03.0,-138.7,-119.5
29:06.0,-126.5,-119.8
29:06.1,-130.3,-116.4
29:06.2,-121,-117
29:08.6,-133.8,-121.3
29:10.7,-138.6,-119.5
29:12.0,-128.5,-120.1
29:14.4,-123.7,-113.7
29:14.5,-115,-115.6
29:14.6,-136.5,-113.8
29:15.8,-133.7,-118.6
29:19.7,-123.3,-116.9
29:19.8,-135.1,-119.3
29:19.9,-124.6,-117.7
29:20.1,-136.6,-116.4
29:24.6,-126,-118
29:24.7,-131.6,-120.3
29:27.3,-139.1,-120.8
29:30.5,-134.6,-120.1
29:31.0,-138,-119.8
29:36.1,-131.1,-119.2
29:36.2,-128.6,-118.8
29:39.3,-127,-119.8
29:40.9,-123.9,-118.7
29:41.5,-134.7,-119.8
29:44.0,-113.9,-113.9
29:49.3,-126.8,-118.5
29:54.6,-126.5,-119.8
29:56.8,-133.1,-121.2
29:57.0,-137.9,-120.1
30:00.9,-137.6,-121.1
30:05.1,-135.9,-119.7
30:05.7,-133.5,-117.3
30:09.0,-135.3,-120
30:12.0,-119.8,-117
30:17.4,-133.2,-120.6
30:18.2,-132.6,-120
30:21.1,-129.9,-118.8
30:24.3,-132.1,-119.5
30:25.6,-135.9,-120.3
30:28.6,-125.5,-119.6
30:34.5,-130.5,-119.5
30:37.9,-127,-119.1
30:43.3,-130,-119
30:45.7,-117.1,-116.2
30:47.6,-118,-110.9
30:51.7,-132.9,-115.6
30:58.0,-132.6,-116.4
31:03.3,-130.7,-115.3
31:11.3,-127,-116.6
31:51.0,-123.3,-111.4
31:55.1,-131.6,-118.9
32:01.2,-127,-117.9
32:01.3,-128.1,-118.1
32:05.4,-121.6,-117.2
32:07.5,-120.5,-115.8
32:08.5,-114.1,-114.1
32:12.4,-132.9,-118.2
32:12.5,-131.2,-117.8
32:13.4,-119.9,-117.1
32:16.9,-128.3,-117
32:17.1,-134.7,-117.9
32:18.4,-136.5,-120.4
32:23.5,-119.7,-116.9
32:23.6,-135.1,-118.6
32:26.9,-128.5,-119
32:31.2,-125.3,-119.3
32:31.3,-134.8,-119.2
32:32.6,-129.6,-119.9
32:34.9,-115.4,-109.5
32:38.6,-134.9,-116.4
32:38.7,-131,-119.8
32:42.5,-116.1,-114.6
32:51.0,-134.4,-119.2
32:51.1,-134.4,-119.6
32:59.2,-131.3,-117.7
32:59.3,-125.4,-118.1
33:01.2,-128.9,-119.2
33:08.9,-121.6,-118.5
33:09.0,-135.9,-120.6
33:21.9,-129.6,-122.1
33:30.9,-129.8,-119.8
33:42.4,-125.4,-119.8
33:50.6,-134.9,-115.1
33:50.7,-122,-114.5
33:57.5,-118.7,-116.8
34:03.9,-132.4,-121.7
34:13.3,-129.7,-120.9
34:30.3,-129.9,-119.3
34:41.2,-124.9,-117.4
34:48.8,-134.4,-119.8
34:51.1,-136.4,-120
35:10.6,-127.7,-120.7
35:23.9,-130.7,-121.5
35:39.4,-134.8,-117.6
35:49.4,-129.3,-119.6
36:24.5,-121,-118.8
36:33.9,-116,-113.3
36:40.0,-125.8,-118.1
36:44.1,-131.8,-118
36:54.8,-123.5,-117.6
37:03.5,-131,-117
37:03.6,-116.9,-116.9
37:13.4,-135.3,-121.9
37:23.9,-100,-98.8
37:35.3,-131.4,-119.1
37:37.8,-133.2,-117.3
37:47.2,-132.7,-111.9
37:48.3,-117.8,-111.1
37:49.1,-112.3,-109
37:55.7,-108.5,-108.7
37:56.1,-96.9,-95.2
37:57.1,-109.9,-108.8
37:59.3,-123.2,-109.9
38:02.9,-127.8,-108.3
38:03.0,-110.9,-108.3
38:03.6,-125.3,-117.4
38:04.4,-93.2,-93.5
38:05.1,-126.7,-106.5
38:07.1,-121.9,-116.6
38:09.7,-118.7,-111.5
38:09.7,-124,-113.2
